cod_municipio;PopResid;ExpecVida;idoso;mulher;nascimentopercapta;casado;evangelico;deficiente;densidadepop;geladeira;moradorfavela;pavimentacao;brancos;nvelsuperiorconcludo;conclusoensinomdio;ResideMenos10anos;resideoutranacionalid;taxadedesemprego;taxatrabinfantil;horastrabalho;Gini;CobBFamilia;traboutromun
1100015;24392;70.75;8.785667432;48.11;16.7;38.63;26.9;23.88;3.45;90.67;0.09;0.157428665;42.4278452;5.5;13.77;6.506231551;0;2.992233897;11.28999996;32.9;0.589299977;83.51999664;2.3
1100023;90353;73.36;6.666076389;49.59;18.05;30.13;33.67;21.6;20.41;94.62;0.1;0.634522373;37.14431176;8.16;23.42;9.190619017;0.12;3.231983926;10.15999985;32.75;0.549600005;94.88999939;3.93
1100031;6313;70.39;10.09028988;48.27;15.06;43.9;28.56;23.77;4.8;93.68;0;0.241248218;46.6972913;4.93;15.49;7.048946618;0.05;1.575492341;12.97000027;21.72;0.516600013;71.40000153;3.48
1100049;78574;74.27;8.096825922;50.21;15.74;42.25;39.04;25.34;20.72;97.23;0.03;0.326202052;43.25858426;8.74;19.4;7.941558276;0.05;3.949814934;14.09000015;25.56;0.588999987;57.72000122;2.57
1100056;17029;72.94;9.965353221;49.79;14.13;41.66;29.89;24.97;6.12;97.31;0;0.137177756;45.85119502;7.01;17;12.46696811;0.11;3.508912157;12.92000008;36.64;0.514699996;69.95999908;5.44
1100064;18591;73.81;10.73637782;49.81;13.72;43.09;28.22;25.88;12.81;96.16;0.13;0.203808294;41.2941746;7.91;15.48;7.853262331;0.16;3.967208315;12.14999962;24.39;0.515399992;82.58999634;3.03
1100072;8783;71.45;8.402595924;46.36;12.84;41.58;23.74;21.58;2.87;91.44;0;0.08584766;37.64089719;4.62;8.52;7.605601731;0.06;2.153797064;19.10000038;19.29;0.485199988;83.05000305;1.36
1100080;13678;70.04;6.367890042;47.35;18.73;27.28;30.35;26.82;2.74;79.58;0.15;0.059146074;32.13189063;5.03;15.02;6.952770873;1.58;3.12889695;18.21999931;24.91;0.523899972;53.97000122;0.39
1100098;28729;74.15;8.051098193;49.16;17.57;36.69;41.18;22.54;6.36;94.14;0.03;0.284242403;45.56371611;5.74;12.56;8.221657559;0.03;3.129875195;23.05999947;30;0.539900005;59.52999878;2.86
1100106;41656;74.39;7.26425965;49.71;22.08;21.37;30.3;20.76;1.68;88.74;0;0.307230651;21.41348185;7.23;23.94;5.948722873;2.27;4.108194576;5.690000057;19.87;0.558600008;86.01999664;4.63
1100114;52005;74.51;7.980001923;50;16.47;39.47;38.66;19.02;17.66;96.93;0.39;0.2244015;32.87183925;6.97;17.15;6.78396308;0.05;3.33595936;13.82999992;24.73;0.508099973;43.59999847;2.46
1100122;116610;73.6;7.572249378;50.41;16.81;36.39;39.21;22.39;16.91;97.43;0.13;0.235923163;39.61838607;8.77;25.34;8.892890833;0.09;3.894593151;11.90999985;26.78;0.5449;56.70999908;3.19
1100130;31135;70.32;6.776939136;46.89;17.57;33.83;33.59;23.72;3.66;81.61;0.47;0.219110326;31.99935764;3.73;10.16;7.946041432;0;2.452883796;17.05999947;25.14;0.559599996;54.34999847;2.03
1100148;19874;70.75;8.669618597;47.95;15.12;42.3;33.7;20.8;17.2;90.62;0;0.118647479;41.3857301;4.78;13.95;4.604005233;0.15;2.372237083;25.52000046;22.98;0.568799973;62.08000183;1.77
1100155;37928;73.72;8.911622021;50.7;17.19;37.24;35.98;24.71;19.25;97.42;0;0.272331787;36.79603459;6.23;17.75;7.962455178;0;5.130630958;12.47000027;26.53;0.494700015;76.41000366;3.54
1100189;33822;73.15;7.71391402;49.62;16.93;33.9;34.34;24.33;5.42;96.47;0.09;0.324256401;39.92076163;8.1;20.54;10.08810833;0.05;3.882415908;13.42000008;31;0.550000012;49.47000122;4.75
1100205;428527;74.14;5.68762295;49.22;19.89;26.21;32.34;21.56;12.57;94.67;0.51;0.427387306;29.01917499;12.38;31.26;13.44606057;0.16;3.850077406;9.279999733;25.02;0.574500024;33.38999939;0.96
1100254;22319;72.51;10.38128948;49.33;10.78;42.68;32.6;23.32;12.69;97.47;0.04;0.261839688;38.92199471;5.07;14.39;6.438460505;0;3.550910647;19.21999931;27.24;0.528100014;38.18999863;4.29
1100262;3316;73.77;9.288299156;46.71;13.08;37.83;36.44;20.55;1.93;88.19;0.68;0.181242461;42.1893848;3.59;16.18;8.293124246;0.12;3.875968992;9.140000343;13.91;0.578299999;78.65000153;3.82
1100288;50648;73.46;8.36953088;50.3;16.77;37.89;33.23;22.28;34.74;98.18;0;0.250572579;40.85649976;8.51;19.79;9.868109303;0.07;4.330058726;11.71000004;25.62;0.540099978;85.55999756;3.42
1100296;8886;73.73;9.71190637;48.28;12.92;42.17;29.79;21.18;7.42;97.63;0;0.108485258;37.86855728;5.43;14.9;6.302048166;0.05;5.448127686;22.14999962;26.09;0.497200012;56.66999817;6.17
1100304;76202;73.49;7.074617464;50.42;18.22;33.6;36.01;19.31;6.62;96.33;0.33;0.295622162;45.47912128;10.64;24.91;18.10188709;0.18;5.068525736;12.48999977;30.2;0.509000003;48.79999924;3.04
1100320;21828;71.87;7.032252153;48.1;14.96;42.81;31.64;24.21;2.73;89.66;0.05;0.082004765;38.56972696;3.87;13.01;6.697819315;0;2.316910786;19.55999947;24.33;0.630800009;66.68000031;0.69
1100338;22546;71.15;5.819214051;47.95;16.64;33;35.07;20.51;2.24;84.73;0;0.094872705;27.99609687;3.49;10.12;9.327596913;0.5;2.444640076;19.30999947;25.2;0.535700023;62.54999924;3.54
1100346;16853;70.75;8.936094464;48.51;12.61;41.94;31.16;22.75;5.56;94.56;0;0.142882573;36.77090132;5.45;13.75;5.120750015;0.07;3.114042411;15.68999958;33.46;0.53549999;53.06000137;1.82
1100379;12816;71.64;7.560861423;47.42;15.31;38.37;27.86;20.02;3.24;85.4;0.03;0.086688514;36.72752809;3.14;9.04;6.335830212;0.09;3.646898432;27;20.71;0.549099982;74.65000153;2.53
1100403;17135;73.22;7.785234899;47.35;15.23;33.61;26.52;25.03;6.46;90.08;0.28;0.084271958;36.74350744;2.98;10.5;7.966151153;0.03;1.792299117;25.46999931;24.27;0.541700006;69.59999847;1.73
1100452;32383;70.08;6.111231202;48.3;19.72;40.94;39.44;20;9.92;88.45;0.12;0.071364605;37.07809653;4.03;14.21;12.67331625;0.13;3.676470588;26.61000061;30.75;0.501699984;50.13999939;2.53
1100502;10240;72.92;9.70703125;47.89;12.51;46.19;34.07;17.39;12.14;94.31;0.19;0.073828125;41.35742188;4.25;12.32;5.009765625;0.06;2.526202634;18.95999908;14.96;0.521399975;70.75;3.84
1100601;5736;73.08;8.891213389;48.31;13.05;37.85;28.01;23.18;2.92;89.07;0;0.078800558;32.84518828;3.59;10.6;8.856345886;0;2.658227848;17.55999947;31.09;0.557900012;61.54000092;1.71
1100700;12665;71.34;5.66127122;46.56;13.96;38.46;36.69;18.17;3.68;77.8;0;0.032688512;33.20963285;2.95;7.53;8.258981445;0.03;1.70595901;17.34000015;27.49;0.67049998;52.08000183;2.43
1100809;19779;74.11;6.84564437;47.82;19.8;28.27;31.33;21.26;2.89;87.05;0;0.300166844;24.45017443;3.94;19.72;9.499974721;0;2.821292776;11.48999977;37.31;0.476200014;22.88999939;28.8
1100908;3575;73.15;11.44055944;48.84;12.94;40.35;22.44;28.17;4;93.37;0;0.117202797;39.55244755;4.06;12.68;8.587412587;0;2.099533437;22.61000061;17.28;0.499599993;35.56999969;4.7
1100924;8301;74.21;5.746295627;46.81;14.14;33.2;27.45;23.23;1.62;87.28;0.25;0.070834839;32.67076256;5.07;11.65;13.03457415;0.11;2.332205804;20.79000092;40.64;0.475199997;38.54999924;1.41
1100940;15854;72.33;4.882048694;46.66;13.02;30.63;30.61;19.28;4.1;86.57;0.07;0.092405702;30.56011101;2.22;11.51;11.98435726;0;4.044791968;17.82999992;34.51;0.524999976;83.65000153;1.04
1101005;10512;70.71;8.989726027;47.96;14.35;41.75;27.64;18.94;2.07;88.77;0;0.073439878;33.35235921;2.93;7.53;5.574581431;0;1.290854161;19.61000061;12.83;0.557099998;33.41999817;1.66
1101104;8566;70.08;7.658183516;46.71;14.37;26.94;39.06;29.66;2.1;89.92;1.02;0.014242353;26.59350922;4.03;13.09;10.7167873;0;3.563238666;20.84000015;33.74;0.477100015;67.37000275;6.36
1101203;10352;71.55;8.404173107;48.76;11.66;46.03;33.81;19.17;12.97;94.86;0.04;0.186437403;44.73531685;3.85;13.22;5.969860896;0;1.335394996;15.22999954;17.56;0.558799982;73.77999878;3.01
1101302;11878;72.99;9.462872537;49.07;15.43;38.88;34.1;24.84;9.97;93.28;0;0.081411012;38.65970702;4.12;9.53;7.73699276;0.03;4.209891435;23.70000076;25.42;0.610199988;52.34000015;3.37
1101401;14091;70.71;8.0689802;47.43;16.49;38.9;34.33;23.45;7.3;92.72;0;0.140870059;33.65978284;5.08;9.92;9.239940387;0;1.897533207;24.27000046;16.28;0.481299996;82.61000061;3.11
1101435;7493;70.17;8.100894168;46.63;13.29;39.53;31.79;16.87;9.28;92.31;0;0.091819031;34.19191245;2.85;8.94;5.405044708;0.08;2.61639092;31.52000046;13.75;0.466500014;60.88999939;2.82
1101450;4810;73;7.089397089;46.05;14.25;37.03;24.99;15.97;1.89;79.43;0.44;0.01975052;45.09355509;4.81;10.12;6.923076923;0;1.112447384;15.73999977;34.67;0.531499982;63.49000168;2.11
